realization_key,evaluation,metric,fast,canonical,rel_diff
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,COD,21.229275031757965,21.229275031757965,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,COV,0.37121582717148743,0.37121582717148743,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,PRD,1.0775149566303128,1.0775149566303128,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,PRB,-0.1028406571371094,-0.1028406571371094,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,MKI,0.9093378006105689,0.9093378006105689,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,VEI,-28.407155342585,-28.407155342585,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,beta_log,-0.16120241944791652,-0.16120241944791652,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,Cov_log_residual_log_price,-0.08102471913941887,-0.08102471913941887,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,dCor_e_y,0.4168358784392149,0.4168358784392149,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,R2_price,0.9114692076514576,0.9114692076514576,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,MAE_price,53043.03897185368,53043.03897185368,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,MAPE,0.25040357935425983,0.25040357935425983,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,median_ratio,0.9591811236028667,0.9591811236028667,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,mean_ratio,1.0336221250135136,1.0336221250135136,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,weighted_mean_ratio,0.9566233301026961,0.9566233301026961,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,COD,25.82000123298568,25.82000123298568,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,COV,0.37874728518135675,0.37874728518135675,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,PRD,1.0804901913719285,1.0804901913719285,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,PRB,-0.08491012901249288,-0.08491012901249288,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,MKI,0.9582505461914469,0.9582505461914469,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,VEI,-32.35829915219271,-32.35829915219271,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,beta_log,-0.12626153244502752,-0.12626153244502752,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,Cov_log_residual_log_price,-0.10249009347578056,-0.10249009347578056,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,dCor_e_y,0.40556466081211057,0.40556466081211057,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,R2_price,0.8990902552538754,0.8990902552538754,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,MAE_price,52654.009577520126,52654.009577520126,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,MAPE,0.21380041565018945,0.21380041565018945,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,median_ratio,0.9761076493307327,0.9761076493307327,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,mean_ratio,1.0345304563583393,1.0345304563583393,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,weighted_mean_ratio,0.97014462074934,0.97014462074934,0.0
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,COD,21.775364890592233,21.775364890592233,0.0
